0	15573	15569	15574	15572	15572	15564	15567	15577	
1	15573	15568	15574	15569	15572	15565	15573	15583	
2	15574	15570	15576	15571	15573	15564	15567	15580	
3	15571	15563	15571	15570	15569	15561	15570	15573	
4	15576	15568	15575	15571	15572	15567	15570	15583	
5	15578	15570	15566	15571	15571	15561	15568	15572	
6	15575	15566	15576	15570	15569	15567	15566	15581	
7	15575	15574	15573	15566	15569	15562	15570	15570	
8	15575	15567	15572	15570	15569	15568	15569	15581	
9	15576	15566	15576	15565	15566	15565	15568	15579	
10	15577	15568	15574	15568	15575	15564	15569	15583	
11	15574	15574	15576	15570	15575	15565	15571	15580	
12	15578	15568	15572	15568	15575	15566	15572	15576	
13	15573	15572	15570	15565	15574	15566	15572	15576	
14	15575	15567	15576	15567	15574	15564	15567	15577	
15	15583	15571	15573	15566	15567	15566	15574	15577	
16	15575	15569	15571	15565	15571	15564	15570	15574	
17	15574	15566	15572	15570	15574	15564	15568	15580	
18	15579	15567	15569	15567	15569	15563	15566	15578	
19	15572	15568	15570	15570	15567	15561	15571	15574	
20	15577	15572	15578	15570	15574	15564	15569	15577	
21	15576	15574	15574	15567	15566	15565	15572	15575	
22	15572	15562	15569	15575	15574	15563	15571	15575	
23	15578	15570	15574	15568	15571	15565	15570	15581	
24	15576	15567	15571	15572	15574	15564	15575	15579	
25	15572	15575	15575	15569	15573	15565	15568	15581	
26	15575	15572	15572	15569	15573	15564	15572	15580	
27	15574	15570	15573	15568	15569	15564	15570	15577	
28	15577	15568	15573	15571	15568	15564	15566	15576	
29	15568	15567	15571	15569	15568	15562	15569	15583	
30	15575	15569	15573	15569	15575	15562	15572	15577	
31	15578	15563	15574	15568	15569	15564	15576	15582	
32	15574	15567	15572	15569	15572	15563	15572	15576	
33	15574	15568	15573	15567	15570	15563	15572	15583	
34	15574	15572	15572	15570	15571	15568	15573	15577	
35	15580	15568	15574	15565	15571	15567	15568	15578	
36	15573	15567	15569	15570	15570	15565	15569	15574	
37	15572	15565	15572	15567	15569	15567	15575	15583	
38	15576	15574	15571	15574	15575	15562	15564	15576	
39	15576	15570	15571	15571	15569	15564	15568	15578	
40	15577	15572	15574	15570	15573	15566	15568	15580	
41	15571	15571	15572	15570	15570	15563	15570	15580	
42	15577	15569	15571	15568	15567	15565	15571	15575	
43	15572	15571	15572	15566	15569	15564	15570	15583	
44	15578	15570	15574	15565	15568	15567	15568	15578	
45	15568	15569	15573	15572	15577	15567	15570	15578	
46	15574	15572	15569	15568	15569	15566	15570	15577	
47	15574	15570	15574	15568	15570	15565	15574	15580	
48	15577	15570	15567	15565	15569	15565	15567	15579	
49	15573	15563	15576	15561	15572	15570	15568	15580	
50	15576	15571	15573	15568	15574	15561	15567	15584	
51	15575	15572	15570	15565	15569	15564	15570	15570	
52	15568	15571	15569	15573	15571	15564	15571	15575	
53	15577	15575	15574	15570	15570	15566	15570	15576	
54	15579	15568	15574	15574	15573	15564	15571	15575	
