0	15555	15564	15565	15558	15336	15344	
1	15557	15565	15563	15562	15358	15343	
2	15560	15564	15559	15562	15355	15357	
3	15556	15564	15564	15560	15322	15322	
4	15560	15562	15560	15562	15301	15272	
5	15559	15564	15561	15564	15252	15257	
6	15555	15561	15568	15561	15205	15176	
7	15557	15561	15564	15558	15218	15197	
8	15553	15563	15566	15561	15184	15182	
9	15558	15558	15564	15561	15211	15177	
10	15562	15566	15564	15566	15269	15278	
11	15566	15562	15561	15564	15235	15223	
12	15558	15563	15566	15559	15312	15304	
13	15557	15561	15562	15560	15270	15273	
14	15564	15565	15566	15565	15210	15193	
15	15558	15563	15564	15562	15242	15233	
16	15557	15565	15564	15556	15134	15114	
17	15555	15563	15560	15558	15186	15171	
18	15559	15565	15563	15561	15169	15156	
19	15557	15565	15560	15565	15152	15146	
20	15559	15565	15560	15559	15274	15275	
21	15560	15565	15566	15557	15231	15215	
22	15555	15566	15565	15560	15305	15314	
23	15560	15562	15566	15562	15322	15303	
24	15557	15568	15563	15556	15260	15253	
25	15556	15564	15564	15561	15322	15315	
26	15557	15559	15564	15562	15248	15225	
27	15553	15564	15566	15563	15256	15260	
28	15561	15562	15564	15559	15282	15263	
29	15562	15566	15563	15560	15212	15211	
30	15562	15564	15559	15562	15287	15292	
31	15560	15563	15562	15563	15260	15246	
32	15558	15565	15565	15564	15245	15241	
33	15560	15564	15561	15565	15287	15276	
34	15557	15564	15563	15561	15245	15237	
35	15562	15564	15566	15561	15303	15299	
36	15562	15561	15561	15567	15332	15315	
37	15562	15565	15564	15565	15345	15332	
38	15555	15561	15567	15563	15428	15429	
39	15557	15564	15566	15557	15425	15424	
40	15552	15565	15564	15563	15426	15419	
41	15549	15564	15562	15563	15442	15453	
42	15559	15563	15565	15563	15380	15369	
43	15556	15568	15563	15564	15358	15343	
44	15558	15562	15565	15563	15315	15309	
45	15559	15564	15566	15561	15265	15245	
46	15559	15563	15566	15561	15299	15293	
47	15561	15562	15565	15562	15287	15272	
48	15560	15565	15566	15564	15324	15307	
49	15559	15561	15561	15562	15346	15353	
50	15562	15564	15564	15563	15339	15323	
51	15559	15563	15564	15561	15345	15347	
52	15563	15565	15566	15562	15291	15288	
53	15557	15563	15561	15561	15241	15221	
54	15560	15564	15562	15561	15198	15193	
55	15561	15566	15565	15562	15144	15124	
56	15559	15563	15564	15564	15140	15120	
57	15558	15565	15564	15558	15140	15131	
58	15563	15566	15563	15561	15150	15131	
59	15558	15562	15561	15561	15188	15177	
60	15560	15559	15562	15560	15202	15198	
61	15557	15558	15561	15556	15218	15197	
62	15562	15565	15560	15563	15236	15242	
63	15559	15565	15564	15560	15233	15216	
64	15557	15566	15563	15557	15221	15203	
65	15553	15563	15569	15564	15220	15217	
66	15559	15564	15565	15561	15200	15175	
67	15560	15563	15569	15557	15223	15233	
68	15558	15564	15565	15560	15193	15175	
69	15564	15568	15564	15562	15204	15197	
70	15562	15566	15563	15559	15239	15247	
71	15560	15563	15564	15563	15186	15159	
72	15560	15570	15565	15563	15241	15249	
73	15558	15569	15564	15560	15218	15207	
74	15560	15562	15563	15566	15202	15192	
75	15556	15565	15563	15558	15262	15260	
76	15559	15560	15567	15565	15187	15167	
77	15557	15564	15559	15562	15248	15243	
78	15563	15561	15563	15563	15238	15220	
79	15560	15569	15564	15560	15190	15190	
80	15560	15563	15566	15567	15258	15259	
81	15561	15561	15567	15559	15223	15205	
82	15561	15564	15567	15557	15250	15256	
83	15556	15561	15562	15559	15295	15287	
84	15561	15554	15567	15558	15263	15264	
85	15557	15560	15564	15562	15336	15330	
86	15558	15563	15564	15561	15341	15331	
87	15559	15566	15563	15563	15341	15339	
88	15558	15565	15564	15561	15390	15381	
89	15560	15567	15563	15561	15374	15365	
90	15556	15563	15568	15559	15392	15379	
91	15559	15566	15565	15565	15417	15411	
92	15556	15564	15562	15562	15414	15406	
93	15555	15561	15566	15563	15425	15419	
94	15562	15568	15563	15559	15422	15415	
95	15562	15568	15567	15557	15409	15391	
96	15559	15562	15564	15559	15418	15424	
97	15561	15565	15565	15561	15406	15388	
98	15558	15568	15565	15561	15396	15391	
99	15559	15560	15567	15562	15402	15403	
100	15561	15564	15563	15557	15396	15380	
101	15562	15566	15564	15561	15411	15413	
102	15557	15567	15560	15556	15407	15392	
103	15559	15560	15568	15555	15405	15394	
104	15563	15563	15565	15561	15402	15402	
105	15561	15562	15567	15557	15361	15344	
106	15556	15559	15561	15563	15365	15363	
107	15561	15565	15566	15559	15336	15329	
108	15553	15569	15566	15562	15292	15278	
109	15557	15559	15561	15558	15284	15272	
110	15561	15560	15560	15559	15225	15206	
111	15558	15562	15559	15558	15237	15227	
112	15562	15562	15568	15561	15219	15209	
113	15557	15566	15563	15561	15178	15166	
114	15560	15561	15567	15564	15231	15213	
115	15561	15561	15566	15566	15179	15173	
116	15557	15562	15567	15561	15181	15167	
117	15556	15565	15567	15565	15202	15193	
118	15559	15562	15559	15562	15128	15123	
119	15558	15561	15561	15562	15166	15144	
120	15556	15564	15563	15563	15137	15133	
121	15559	15562	15565	15562	15105	15079	
122	15559	15563	15562	15561	15156	15145	
123	15562	15567	15564	15562	15098	15086	
124	15557	15564	15568	15563	15143	15129	
125	15556	15569	15565	15570	15187	15181	
126	15558	15572	15561	15562	15137	15121	
127	15557	15562	15561	15564	15251	15258	
128	15556	15561	15569	15564	15229	15223	
129	15561	15565	15563	15566	15239	15233	
130	15562	15564	15561	15560	15306	15311	
131	15557	15564	15567	15561	15232	15210	
132	15557	15564	15565	15558	15291	15296	
133	15560	15563	15567	15560	15241	15234	
134	15562	15562	15569	15562	15211	15195	
135	15556	15565	15557	15559	15265	15276	
136	15560	15564	15565	15563	15201	15181	
137	15557	15563	15564	15562	15276	15276	
138	15560	15557	15562	15562	15283	15278	
139	15553	15560	15562	15557	15292	15278	
140	15556	15565	15565	15563	15343	15350	
141	15559	15560	15560	15562	15316	15308	
142	15558	15564	15564	15564	15338	15320	
143	15560	15561	15566	15563	15318	15331	
144	15558	15561	15568	15563	15311	15289	
145	15560	15566	15559	15559	15275	15257	
146	15556	15558	15565	15562	15308	15319	
147	15551	15566	15568	15564	15310	15281	
148	15560	15565	15568	15561	15313	15313	
149	15557	15559	15563	15558	15390	15385	
